t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
4.792,0,0,0,190471,23805,-91285,356032,192482,-202742,-190472,-23806,91284,-356033,-192483,202741
4.8,0,0,0,190674,23856,-91373,356418,192656,-202936,-190675,-23857,91372,-356419,-192657,202935
4.808,0,0,0,190870,23906,-91459,356790,192823,-203123,-190871,-23907,91458,-356791,-192824,203122
4.816,0,0,0,191058,23953,-91541,357147,192983,-203303,-191059,-23954,91540,-357148,-192984,203302
4.824,0,0,0,191238,23999,-91619,357489,193137,-203475,-191239,-24000,91618,-357490,-193138,203474
4.832,0,0,0,191410,24043,-91695,357817,193284,-203640,-191411,-24044,91694,-357818,-193285,203639
4.84,0,0,0,191575,24084,-91766,358130,193425,-203798,-191576,-24085,91765,-358131,-193426,203797
4.848,0,0,0,191731,24124,-91835,358428,193558,-203947,-191732,-24125,91834,-358429,-193559,203946
4.856,0,0,0,191880,24162,-91899,358710,193685,-204090,-191881,-24163,91898,-358711,-193686,204089
4.864,0,0,0,192020,24198,-91961,358978,193805,-204224,-192021,-24199,91960,-358979,-193806,204223
4.872,0,0,0,192153,24231,-92018,359230,193918,-204351,-192154,-24232,92017,-359231,-193919,204350
4.88,0,0,0,192277,24263,-92073,359467,194024,-204470,-192278,-24264,92072,-359468,-194025,204469
4.888,0,0,0,192393,24293,-92123,359688,194123,-204581,-192394,-24294,92122,-359689,-194124,204580
4.896,0,0,0,192501,24320,-92170,359894,194216,-204684,-192502,-24321,92169,-359895,-194217,204683
4.904,0,0,0,192601,24346,-92214,360084,194301,-204780,-192602,-24347,92213,-360085,-194302,204779
4.912,0,0,0,192693,24369,-92254,360258,194379,-204867,-192694,-24370,92253,-360259,-194380,204866
4.92,0,0,0,192776,24390,-92290,360416,194449,-204947,-192777,-24391,92289,-360417,-194450,204946
4.928,0,0,0,192850,24409,-92322,360558,194513,-205018,-192851,-24410,92321,-360559,-194514,205017
4.936,0,0,0,192916,24426,-92351,360684,194569,-205081,-192917,-24427,92350,-360685,-194570,205080
4.944,0,0,0,192974,24441,-92376,360793,194618,-205136,-192975,-24442,92375,-360794,-194619,205135
4.952,0,0,0,193022,24453,-92397,360886,194660,-205183,-193023,-24454,92396,-360887,-194661,205182
4.96,0,0,0,193062,24464,-92415,360962,194694,-205221,-193063,-24465,92414,-360963,-194695,205220
4.968,0,0,0,193094,24472,-92428,361022,194721,-205251,-193095,-24473,92427,-361023,-194722,205250
4.976,0,0,0,193116,24477,-92438,361065,194740,-205272,-193117,-24478,92437,-361066,-194741,205271
4.984,0,0,0,193130,24481,-92444,361090,194751,-205285,-193131,-24482,92443,-361091,-194752,205284
4.992,0,0,0,193134,24482,-92446,361099,194755,-205290,-193135,-24483,92445,-361100,-194756,205289
5,0,0,0,193150,24498,-92430,361115,194771,-205274,-193119,-24467,92461,-361084,-194740,205305
5.008,0,0,0,193133,24486,-92443,361099,194753,-205292,-193137,-24479,92448,-361100,-194759,205286
5.016,0,0,0,193128,24499,-92433,361098,194745,-205299,-193141,-24465,92458,-361101,-194766,205279
5.024,0,0,0,193120,24521,-92417,361096,194733,-205311,-193149,-24444,92474,-361102,-194778,205267
5.032,0,0,0,193110,24551,-92394,361094,194716,-205328,-193160,-24414,92497,-361104,-194795,205251
5.04,0,0,0,193096,24590,-92365,361092,194695,-205349,-193173,-24375,92525,-361107,-194816,205230
5.048,0,0,0,193080,24637,-92330,361089,194669,-205374,-193190,-24328,92560,-361110,-194843,205204
5.056,0,0,0,193060,24692,-92289,361085,194638,-205405,-193209,-24273,92602,-361113,-194873,205174
5.064,0,0,0,193038,24755,-92242,361081,194602,-205439,-193231,-24209,92649,-361117,-194909,205139
5.072,0,0,0,193012,24827,-92188,361076,194562,-205478,-193256,-24138,92702,-361121,-194948,205099
5.08,0,0,0,192984,24906,-92129,361070,194517,-205521,-193284,-24059,92761,-361126,-194993,205056
5.088,0,0,0,192953,24993,-92064,361064,194468,-205569,-193315,-23971,92827,-361131,-195041,205007
5.096,0,0,0,192920,25088,-91993,361057,194415,-205620,-193348,-23876,92898,-361136,-195094,204955
5.104,0,0,0,192883,25191,-91916,361049,194357,-205676,-193384,-23773,92974,-361142,-195151,204898
5.112,0,0,0,192844,25301,-91833,361041,194294,-205736,-193422,-23663,93057,-361148,-195212,204837
5.12,0,0,0,192802,25419,-91745,361032,194227,-205800,-193463,-23544,93145,-361154,-195277,204771
5.128,0,0,0,192757,25545,-91651,361022,194156,-205867,-193507,-23419,93238,-361160,-195346,204702
5.136,0,0,0,192709,25677,-91552,361011,194081,-205939,-193553,-23286,93337,-361166,-195419,204628
5.144,0,0,0,192659,25817,-91447,360999,194001,-206014,-193601,-23145,93442,-361172,-195496,204549
5.152,0,0,0,192606,25964,-91337,360987,193917,-206093,-193652,-22998,93551,-361179,-195577,204467
5.16,0,0,0,192550,26118,-91222,360973,193829,-206175,-193706,-22843,93666,-361185,-195661,204380
5.168,0,0,0,192492,26279,-91101,360958,193737,-206261,-193761,-22681,93786,-361191,-195749,204289
5.176,0,0,0,192431,26447,-90975,360943,193640,-206351,-193819,-22513,93912,-361197,-195841,204195
5.184,0,0,0,192368,26622,-90844,360926,193540,-206444,-193879,-22337,94042,-361203,-195936,204096
5.192,0,0,0,192302,26803,-90708,360908,193435,-206540,-193941,-22154,94177,-361209,-196035,203993
5.2,0,0,0,192233,26991,-90566,360889,193326,-206639,-194005,-21965,94318,-361214,-196136,203885
5.208,0,0,0,192162,27186,-90420,360869,193213,-206742,-194071,-21769,94463,-361219,-196241,203774
5.216,0,0,0,192088,27387,-90269,360847,193096,-206847,-194139,-21567,94613,-361223,-196350,203659
5.224,0,0,0,192012,27594,-90113,360825,192974,-206956,-194210,-21358,94767,-361227,-196461,203540
5.232,0,0,0,191933,27807,-89952,360800,192849,-207067,-194282,-21143,94926,-361230,-196576,203416
5.24,0,0,0,191851,28027,-89787,360775,192720,-207182,-194356,-20921,95090,-361233,-196693,203289
5.248,0,0,0,191767,28253,-89617,360747,192587,-207299,-194431,-20693,95258,-361235,-196813,203158
5.256,0,0,0,191681,28484,-89442,360719,192450,-207418,-194509,-20459,95431,-361237,-196936,203023
5.264,0,0,0,191592,28721,-89263,360688,192309,-207541,-194588,-20219,95608,-361221,-197062,202884
5.272,0,0,0,191500,28965,-89080,360656,192164,-207665,-194669,-19973,95789,-361237,-197190,202741
5.28,0,0,0,191407,29214,-88892,360623,192015,-207792,-194751,-19721,95975,-361235,-197321,202594
5.288,0,0,0,191310,29468,-88700,360587,191862,-207922,-194835,-19464,96164,-361233,-197454,202443
5.296,0,0,0,191211,29728,-88503,360550,191705,-208054,-194921,-19200,96358,-361229,-197590,202289
5.304,0,0,0,191110,29993,-88302,360511,191545,-208188,-195008,-18931,96556,-361225,-197728,202130
5.312,0,0,0,191007,30264,-88097,360470,191381,-208324,-195096,-18656,96757,-361219,-197869,201968
5.32,0,0,0,190900,30540,-87889,360427,191212,-208462,-195186,-18376,96963,-361212,-198011,201802
5.328,0,0,0,190792,30820,-87676,360382,191040,-208602,-195277,-18091,97172,-361204,-198156,201632
5.336,0,0,0,190681,31106,-87459,360335,190865,-208743,-195369,-17800,97384,-361194,-198302,201458
5.344,0,0,0,190568,31397,-87238,360286,190685,-208887,-195462,-17504,97601,-361182,-198450,201280
5.352,0,0,0,190453,31693,-87014,360235,190502,-209032,-195557,-17202,97821,-361170,-198601,201099
5.36,0,0,0,190335,31993,-86785,360182,190315,-209179,-195653,-16896,98044,-361155,-198753,200914
5.368,0,0,0,190214,32298,-86553,360126,190125,-209327,-195749,-16585,98271,-361139,-198906,200725
5.376,0,0,0,190092,32608,-86318,360068,189930,-209476,-195847,-16268,98501,-361122,-199061,200533
5.384,0,0,0,189967,32922,-86079,360007,189732,-209627,-195946,-15947,98735,-361102,-199218,200337
5.392,0,0,0,189840,33241,-85836,359944,189531,-209780,-196045,-15621,98971,-361081,-199376,200137
5.4,0,0,0,189710,33563,-85590,359879,189326,-209933,-196146,-15291,99211,-361057,-199536,199934
5.408,0,0,0,189579,33890,-85341,359811,189117,-210088,-196247,-14956,99453,-361032,-199697,199727
5.416,0,0,0,189445,34221,-85089,359740,188905,-210243,-196349,-14616,99699,-361005,-199859,199516
5.424,0,0,0,189309,34556,-84833,359667,188689,-210400,-196451,-14272,99948,-360976,-200022,199302
5.432,0,0,0,189170,34895,-84574,359591,188469,-210557,-196555,-13924,100199,-360944,-200186,199084
5.44,0,0,0,189030,35238,-84312,359513,188247,-210715,-196659,-13571,100453,-360911,-200351,198863
5.448,0,0,0,188887,35584,-84047,359431,188020,-210874,-196763,-13215,100709,-360875,-200517,198638
5.456,0,0,0,188742,35934,-83779,359347,187791,-211033,-196868,-12854,100969,-360837,-200684,198410
5.464,0,0,0,188595,36288,-83508,359260,187557,-211193,-196973,-12489,101230,-360796,-200851,198178
5.472,0,0,0,188445,36645,-83235,359171,187321,-211354,-197079,-12120,101494,-360753,-201020,197943
5.48,0,0,0,188294,37006,-82958,359078,187081,-211515,-197185,-11748,101761,-360708,-201188,197704
5.488,0,0,0,188140,37369,-82679,358982,186838,-211676,-197292,-11371,102030,-360660,-201358,197462
5.496,0,0,0,187985,37736,-82398,358883,186591,-211837,-197398,-10991,102300,-360610,-201528,197216
5.504,0,0,0,187827,38106,-82114,358782,186341,-211999,-197505,-10608,102574,-360557,-201698,196968
5.512,0,0,0,187667,38479,-81827,358677,186088,-212160,-197612,-10221,102849,-360501,-201868,196715
5.52,0,0,0,187506,38855,-81538,358569,185832,-212322,-197720,-9830,103126,-360443,-202039,196460
5.528,0,0,0,187342,39234,-81247,358458,185572,-212484,-197827,-9436,103404,-360382,-202210,196202
5.536,0,0,0,187176,39616,-80954,358344,185310,-212645,-197934,-9039,103685,-360319,-202381,195940
5.544,0,0,0,187008,40000,-80658,358226,185044,-212806,-198042,-8639,103968,-360252,-202552,195675
5.552,0,0,0,186838,40386,-80360,358106,184775,-212968,-198149,-8236,104252,-360183,-202723,195407
5.56,0,0,0,186667,40776,-80060,357982,184503,-213128,-198256,-7829,104538,-360111,-202894,195135
5.568,0,0,0,186493,41167,-79759,357855,184228,-213289,-198363,-7420,104825,-360036,-203065,194861
5.576,0,0,0,186317,41561,-79455,357724,183950,-213448,-198470,-7008,105113,-359958,-203235,194583
5.584,0,0,0,186140,41957,-79149,357591,183669,-213608,-198577,-6593,105403,-359877,-203406,194303
5.592,0,0,0,185961,42355,-78842,357454,183385,-213767,-198683,-6176,105695,-359793,-203576,194020
5.6,0,0,0,185780,42755,-78533,357314,183099,-213925,-198790,-5756,105987,-359706,-203745,193733
5.608,0,0,0,185597,43157,-78223,357170,182809,-214082,-198896,-5333,106281,-359616,-203914,193444
5.616,0,0,0,185412,43561,-77911,357023,182517,-214239,-199001,-4908,106576,-359523,-204083,193152
5.624,0,0,0,185226,43967,-77597,356872,182222,-214395,-199106,-4481,106871,-359427,-204251,192857
5.632,0,0,0,185038,44374,-77282,356719,181924,-214550,-199211,-4051,107168,-359328,-204418,192559
5.64,0,0,0,184848,44783,-76966,356562,181624,-214703,-199315,-3620,107465,-359226,-204584,192259
5.648,0,0,0,184657,45193,-76648,356401,181321,-214856,-199419,-3186,107763,-359120,-204750,191956
5.656,0,0,0,184464,45605,-76329,356237,181016,-215008,-199522,-2750,108062,-359012,-204915,191650
5.664,0,0,0,184269,46018,-76010,356070,180708,-215159,-199624,-2313,108362,-358900,-205079,191342
5.672,0,0,0,184073,46432,-75689,355899,180397,-215309,-199726,-1873,108662,-358785,-205243,191031
5.68,0,0,0,183875,46848,-75367,355725,180084,-215457,-199827,-1432,108962,-358667,-205405,190718
5.688,0,0,0,183675,47264,-75044,355548,179769,-215604,-199928,-989,109263,-358546,-205566,190402
5.696,0,0,0,183475,47682,-74721,355367,179451,-215750,-200028,-545,109564,-358422,-205726,190084
5.704,0,0,0,183272,48100,-74396,355183,179131,-215895,-200127,-99,109866,-358295,-205885,189764
5.712,0,0,0,183069,48519,-74071,354995,178809,-216038,-200225,348,110167,-358164,-206043,189441
5.72,0,0,0,182864,48939,-73746,354805,178485,-216179,-200323,796,110469,-358030,-206200,189116
5.728,0,0,0,182657,49360,-73420,354611,178159,-216319,-200420,1246,110771,-357893,-206355,188789
5.736,0,0,0,182449,49781,-73093,354413,177831,-216458,-200515,1696,111072,-357753,-206510,188460
5.744,0,0,0,182240,50202,-72766,354213,177500,-216595,-200610,2148,111374,-357610,-206662,188129
5.752,0,0,0,182030,50624,-72439,354009,177168,-216730,-200704,2601,111675,-357464,-206814,187796
5.76,0,0,0,181819,51046,-72111,353802,176834,-216864,-200797,3054,111976,-357315,-206964,187461
5.768,0,0,0,181606,51468,-71783,353591,176498,-216996,-200889,3508,112277,-357162,-207113,187124
5.776,0,0,0,181392,51891,-71456,353378,176160,-217126,-200980,3963,112578,-357007,-207260,186785
5.784,0,0,0,181177,52313,-71128,353162,175821,-217255,-201071,4419,112878,-356849,-207405,186445
5.792,0,0,0,180961,52735,-70800,352942,175480,-217381,-201160,4875,113177,-356687,-207549,186103
5.8,0,0,0,180745,53158,-70472,352719,175137,-217506,-201248,5331,113476,-356523,-207692,185759
5.808,0,0,0,180527,53580,-70144,352494,174793,-217629,-201334,5788,113774,-356355,-207833,185414
5.816,0,0,0,180308,54001,-69817,352265,174448,-217750,-201420,6244,114071,-356185,-207972,185067
5.824,0,0,0,180088,54423,-69490,352034,174101,-217869,-201505,6701,114368,-356012,-208109,184719
5.832,0,0,0,179868,54843,-69163,351799,173753,-217987,-201588,7158,114664,-355836,-208245,184370
5.84,0,0,0,179646,55264,-68837,351562,173404,-218102,-201671,7615,114958,-355657,-208379,184020
5.848,0,0,0,179424,55683,-68512,351322,173054,-218215,-201752,8072,115252,-355476,-208512,183668
5.856,0,0,0,179202,56102,-68187,351080,172702,-218326,-201832,8528,115545,-355292,-208642,183315
5.864,0,0,0,178978,56520,-67862,350835,172350,-218436,-201910,8985,115836,-355105,-208771,182961
5.872,0,0,0,178754,56937,-67539,350587,171997,-218543,-201988,9440,116127,-354915,-208898,182607
5.88,0,0,0,178530,57353,-67216,350336,171643,-218648,-202064,9896,116416,-354723,-209023,182251
5.888,0,0,0,178305,57768,-66894,350084,171288,-218751,-202139,10350,116704,-354529,-209146,181895
5.896,0,0,0,178079,58182,-66573,349829,170933,-218852,-202213,10804,116990,-354332,-209267,181538
5.904,0,0,0,177853,58595,-66253,349571,170577,-218951,-202285,11257,117275,-354132,-209387,181181
5.912,0,0,0,177627,59006,-65934,349311,170220,-219048,-202356,11709,117559,-353931,-209504,180823
5.92,0,0,0,177400,59416,-65616,349049,169863,-219142,-202426,12160,117841,-353727,-209620,180464
5.928,0,0,0,177173,59825,-65300,348785,169506,-219235,-202495,12610,118121,-353521,-209733,180105
5.936,0,0,0,176946,60232,-64984,348519,169148,-219325,-202562,13059,118399,-353312,-209845,179746
5.944,0,0,0,176719,60637,-64671,348252,168791,-219413,-202628,13507,118676,-353102,-209955,179387
5.952,0,0,0,176492,61041,-64358,347982,168433,-219499,-202692,13953,118951,-352890,-210062,179028
5.96,0,0,0,176265,61442,-64047,347710,168076,-219583,-202756,14398,119225,-352675,-210168,178669
5.968,0,0,0,176038,61842,-63738,347437,167718,-219665,-202818,14841,119496,-352459,-210272,178310
5.976,0,0,0,175810,62240,-63430,347162,167361,-219745,-202878,15282,119765,-352241,-210374,177951
5.984,0,0,0,175583,62636,-63124,346886,167004,-219822,-202937,15722,120032,-352022,-210474,177592
5.992,0,0,0,175357,63030,-62819,346608,166647,-219898,-202995,16160,120298,-351801,-210571,177234
6,0,0,0,175130,63421,-62517,346329,166291,-219971,-203052,16596,120561,-351578,-210667,176877
6.008,0,0,0,174904,63810,-62216,346049,165936,-220042,-203107,17029,120822,-351354,-210761,176520
6.016,0,0,0,174678,64197,-61918,345768,165581,-220111,-203161,17461,121080,-351129,-210853,176163
6.024,0,0,0,174453,64582,-61621,345486,165227,-220178,-203213,17890,121337,-350902,-210943,175808
6.032,0,0,0,174228,64963,-61326,345203,164874,-220243,-203264,18318,121591,-350674,-211030,175453
6.04,0,0,0,174004,65343,-61034,344919,164521,-220306,-203314,18742,121843,-350446,-211116,175099
6.048,0,0,0,173780,65719,-60744,344634,164170,-220366,-203363,19164,122092,-350216,-211200,174747
6.056,0,0,0,173557,66093,-60456,344349,163820,-220425,-203410,19584,122339,-349985,-211282,174396
6.064,0,0,0,173335,66464,-60170,344064,163472,-220482,-203456,20000,122583,-349754,-211362,174046
6.072,0,0,0,173114,66831,-59887,343778,163125,-220536,-203500,20414,122825,-349522,-211440,173697
6.08,0,0,0,172894,67196,-59606,343492,162779,-220589,-203544,20825,123064,-349289,-211516,173350
6.088,0,0,0,172675,67558,-59328,343206,162435,-220640,-203586,21233,123301,-349056,-211590,173005
6.096,0,0,0,172456,67917,-59052,342919,162093,-220688,-203626,21637,123534,-348823,-211662,172661
6.104,0,0,0,172239,68272,-58779,342634,161752,-220735,-203666,22039,123765,-348589,-211733,172319
6.112,0,0,0,172023,68624,-58509,342348,161414,-220780,-203704,22437,123994,-348356,-211801,171980
6.12,0,0,0,171808,68972,-58241,342063,161077,-220823,-203741,22831,124219,-348122,-211868,171642
6.128,0,0,0,171595,69317,-57976,341778,160743,-220864,-203776,23222,124442,-347889,-211932,171306
6.136,0,0,0,171383,69659,-57715,341494,160411,-220904,-203811,23610,124661,-347656,-211995,170973
6.144,0,0,0,171173,69996,-57456,341211,160081,-220941,-203844,23993,124878,-347423,-212056,170642
6.152,0,0,0,170964,70330,-57200,340929,159754,-220977,-203876,24373,125092,-347190,-212115,170314
6.16,0,0,0,170756,70661,-56947,340648,159430,-221011,-203907,24749,125302,-346959,-212173,169989
6.168,0,0,0,170551,70987,-56697,340368,159108,-221044,-203936,25120,125510,-346728,-212228,169666
6.176,0,0,0,170347,71309,-56451,340090,158789,-221075,-203965,25488,125715,-346497,-212282,169346
6.184,0,0,0,170145,71627,-56208,339813,158473,-221104,-203992,25851,125916,-346268,-212335,169029
6.192,0,0,0,169945,71941,-55968,339537,158160,-221131,-204019,26210,126114,-346040,-212385,168715
6.2,0,0,0,169747,72251,-55731,339264,157851,-221157,-204044,26564,126309,-345813,-212434,168405
6.208,0,0,0,169551,72557,-55498,338992,157544,-221182,-204068,26914,126501,-345588,-212481,168097
6.216,0,0,0,169357,72858,-55268,338723,157241,-221205,-204091,27259,126690,-345364,-212527,167794
6.224,0,0,0,169166,73154,-55042,338455,156942,-221227,-204113,27599,126875,-345142,-212571,167494
6.232,0,0,0,168977,73446,-54820,338191,156646,-221247,-204134,27934,127057,-344921,-212613,167197
6.24,0,0,0,168790,73734,-54601,337928,156355,-221266,-204154,28264,127236,-344703,-212654,166905
6.248,0,0,0,168606,74016,-54386,337669,156067,-221283,-204173,28589,127411,-344486,-212694,166616
6.256,0,0,0,168424,74294,-54174,337412,155783,-221300,-204192,28909,127583,-344272,-212732,166332
6.264,0,0,0,168245,74567,-53966,337158,155503,-221315,-204209,29224,127751,-344060,-212768,166051
6.272,0,0,0,168068,74836,-53763,336907,155228,-221329,-204225,29533,127916,-343850,-212803,165775
6.28,0,0,0,167895,75099,-53563,336660,154957,-221342,-204241,29836,128077,-343643,-212837,165504
6.288,0,0,0,167724,75357,-53367,336416,154690,-221353,-204255,30134,128235,-343439,-212869,165237
6.296,0,0,0,167556,75609,-53175,336175,154429,-221364,-204269,30427,128389,-343237,-212900,164975
6.304,0,0,0,167391,75857,-52988,335939,154172,-221374,-204282,30713,128540,-343039,-212930,164717
6.312,0,0,0,167230,76099,-52804,335706,153920,-221382,-204295,30993,128687,-342843,-212958,164465
6.32,0,0,0,167071,76336,-52625,335477,153673,-221390,-204306,31267,128831,-342651,-212986,164217
6.328,0,0,0,166916,76567,-52450,335253,153431,-221397,-204317,31535,128970,-342463,-213012,163975
6.336,0,0,0,166764,76793,-52279,335033,153194,-221403,-204327,31797,129106,-342278,-213036,163738
6.344,0,0,0,166616,77013,-52113,334817,152963,-221408,-204337,32052,129239,-342096,-213060,163507
6.352,0,0,0,166471,77227,-51951,334606,152738,-221413,-204346,32301,129367,-341919,-213083,163281
6.36,0,0,0,166330,77435,-51793,334400,152518,-221417,-204354,32544,129492,-341745,-213104,163061
6.368,0,0,0,166193,77638,-51640,334199,152304,-221420,-204362,32779,129613,-341576,-213124,162846
6.376,0,0,0,166059,77834,-51492,334003,152095,-221423,-204369,33008,129730,-341410,-213144,162638
6.384,0,0,0,165929,78024,-51348,333813,151893,-221425,-204376,33230,129843,-341250,-213162,162436
6.392,0,0,0,165803,78209,-51209,333627,151697,-221426,-204382,33444,129953,-341093,-213180,162239
6.4,0,0,0,165681,78387,-51075,333448,151507,-221427,-204388,33652,130058,-340942,-213196,162049
6.408,0,0,0,165563,78558,-50946,333274,151324,-221428,-204393,33852,130160,-340795,-213212,161866
6.416,0,0,0,165450,78724,-50821,333106,151147,-221412,-204398,34045,130257,-340653,-213226,161689
6.424,0,0,0,165340,78883,-50702,332944,150977,-221428,-204402,34231,130351,-340516,-213240,161519
6.432,0,0,0,165235,79035,-50587,332788,150813,-221412,-204406,34409,130441,-340384,-213253,161355
6.44,0,0,0,165134,79180,-50477,332639,150657,-221427,-204410,34579,130526,-340258,-213265,161198
6.448,0,0,0,165038,79319,-50373,332496,150507,-221426,-204413,34741,130608,-340137,-213277,161049
6.456,0,0,0,164947,79452,-50274,332360,150365,-221425,-204416,34896,130685,-340021,-213287,160906
6.464,0,0,0,164860,79577,-50179,332230,150230,-221424,-204418,35043,130758,-339911,-213297,160771
6.472,0,0,0,164777,79695,-50091,332107,150102,-221423,-204421,35181,130827,-339807,-213306,160643
6.48,0,0,0,164700,79806,-50007,331992,149981,-221421,-204423,35312,130892,-339709,-213315,160523
6.488,0,0,0,164627,79910,-49929,331883,149869,-221420,-204425,35434,130953,-339617,-213323,160410
6.496,0,0,0,164560,80007,-49856,331782,149764,-221418,-204427,35547,131009,-339532,-213330,160305
6.504,0,0,0,164497,80097,-49789,331688,149666,-221417,-204428,35652,131061,-339452,-213337,160207
6.512,0,0,0,164440,80179,-49727,331602,149577,-221415,-204430,35749,131109,-339379,-213343,160118
6.52,0,0,0,164387,80254,-49671,331523,149495,-221414,-204431,35837,131152,-339312,-213348,160037
6.528,0,0,0,164340,80322,-49620,331453,149422,-221412,-204432,35916,131191,-339252,-213353,159963
6.536,0,0,0,164298,80381,-49575,331390,149357,-221411,-204416,35986,131226,-339199,-213357,159898
6.544,0,0,0,164262,80433,-49536,331335,149301,-221410,-204433,36047,131256,-339153,-213360,159842
6.552,0,0,0,164231,80477,-49503,331288,149252,-221409,-204434,36099,131281,-339113,-213364,159793
6.56,0,0,0,164205,80514,-49476,331250,149213,-221408,-204418,36142,131302,-339080,-213366,159754
6.568,0,0,0,164185,80542,-49455,331220,149182,-221392,-204435,36175,131319,-339055,-213368,159723
6.576,0,0,0,164171,80563,-49439,331199,149159,-221407,-204419,36199,131331,-339037,-213369,159701
6.584,0,0,0,164162,80575,-49430,331186,149146,-221391,-204435,36213,131338,-339026,-213370,159687
6.592,0,0,0,164159,80579,-49427,331181,149141,-221407,-204419,36218,131340,-339022,-213354,159683